market,market_label,horizon,bucket_type,bucket,observations,avg_return_pct,median_return_pct,hit_rate_pct,avg_drawdown_pct,worst_drawdown_pct,volatility_pct,sharpe_like,unconditional_avg_return_pct,diff_vs_unconditional_pct,welch_t_stat_vs_rest,approx_p_value_vs_rest
sp500,S&P 500,2d,score_intensity,Zero,187,0.254063,0.295163,62.032086,-0.505948,-7.596968,1.353112,0.187762,0.162524,0.091539,1.157088,0.247236
sp500,S&P 500,2d,score_intensity,Caution,15,-0.361033,-0.181247,40.0,-0.939117,-3.65384,1.734009,-0.208207,0.162524,-0.523557,-1.196572,0.231474
sp500,S&P 500,2d,score_intensity,Extreme Negative,6,1.405486,1.367919,100.0,-0.207744,-0.655962,0.789681,1.779815,0.162524,1.242962,3.81823,0.000134
sp500,S&P 500,2d,score_intensity,Risk-On,59,0.088148,0.03456,54.237288,-0.528039,-3.203576,1.270627,0.069374,0.162524,-0.074376,-0.471816,0.637058
sp500,S&P 500,2d,score_intensity,Mild Positive,18,-0.498201,-0.306603,44.444444,-1.380716,-11.98405,2.129839,-0.233915,0.162524,-0.660725,-1.360426,0.173695
sp500,S&P 500,2d,score_intensity,Extreme Positive,34,0.187674,-0.102454,50.0,-0.866638,-4.800735,2.350458,0.079846,0.162524,0.02515,0.066786,0.946752
sp500,S&P 500,3d,regime,Mixed,316,0.210246,0.225543,58.544304,-0.736343,-11.98405,1.920986,0.109447,0.251837,-0.041591,-0.697805,0.485299
sp500,S&P 500,3d,regime,Caution,21,0.610938,0.514526,66.666667,-1.062046,-4.035003,2.2082,0.276668,0.251837,0.3591,0.768132,0.442409
sp500,S&P 500,3d,regime,Risk-On,93,0.312069,0.370234,54.83871,-0.866419,-4.800735,2.089297,0.149366,0.251837,0.060232,0.318864,0.749829
sp500,S&P 500,3d,score_sign,Negative,132,0.273816,0.361529,59.848485,-0.711496,-4.035003,1.62522,0.168479,0.251837,0.021979,0.169732,0.865221
sp500,S&P 500,3d,score_sign,Zero,187,0.27675,0.22322,58.823529,-0.728433,-7.77124,2.006286,0.137941,0.251837,0.024913,0.228859,0.818979
sp500,S&P 500,3d,score_sign,Positive,111,0.183729,0.226218,54.954955,-0.949818,-11.98405,2.275811,0.080731,0.251837,-0.068108,-0.38302,0.701705
sp500,S&P 500,3d,score_intensity,Mild Negative,111,0.210036,0.273395,58.558559,-0.645175,-3.862874,1.494397,0.140549,0.251837,-0.041801,-0.305088,0.760299
sp500,S&P 500,3d,score_intensity,Zero,187,0.27675,0.22322,58.823529,-0.728433,-7.77124,2.006286,0.137941,0.251837,0.024913,0.228859,0.818979
sp500,S&P 500,3d,score_intensity,Caution,15,-0.146486,0.043105,53.333333,-1.403767,-4.035003,2.017355,-0.072613,0.251837,-0.398323,-0.77905,0.43595
